Id,Name,Image_url,Tutorial_url,Description,Type,Level1,Level2
1,Basic Violin Plot,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-1.1BasicViolin-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-1.1BasicViolin,Basic violin plot using the ggplot2 package and manually created dataset,Violin Plot,BASICS,Distribution
2,Basic Violin Plot,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-1.2BasicViolin-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-1.2BasicViolin,Basic violin plot using the ggplot2 package and iris dataset,Violin Plot,BASICS,Distribution
3,Basic Violin Plot,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-1.3BasicViolin-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-1.3BasicViolin,Basic violin plot using the ggplot2 package and TCGA-BRCA dataset,Violin Plot,BASICS,Distribution
4,Horizontal Violin Plot,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-2HorizontalViolin-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-2HorizontalViolin,Horizontal violin plot using the ggplot2 package and TCGA-BRCA dataset,Violin Plot,BASICS,Distribution
5,Violin Plot with Boxplot,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-3.1Violinwizbox-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-3.1Violinwizbox,Violin plot with boxplot using the ggplot2 package and manually created data,Violin Plot,BASICS,Distribution
6,Violin Plot with Boxplot,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-3.2Violinwizbox-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-3.2Violinwizbox,Violin plot with boxplot using the ggplot2 package and TCGA-BRCA dataset,Violin Plot,BASICS,Distribution
7,Grouped Violin Plot,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-4GroupedViolin-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-4GroupedViolin,Grouped violin plot using the ggplot2 package and penguins dataset,Violin Plot,BASICS,Distribution
8,Half-Violin Plot,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-5Half-ViolinPlot-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-5Half-ViolinPlot,Half-violin plot using the ggplot2 package and penguins dataset,Violin Plot,BASICS,Distribution
9,Violin Plot Using the ggstatsplot Package,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-6ViolinPlot-ggstatsplot-1.png,https://openbiox.github.io/Bizard/Distribution/ViolinPlot.html#fig-6ViolinPlot-ggstatsplot,Violin plot using the ggstatsplot package and penguins dataset,Violin Plot,BASICS,Distribution
10,Basic Density Plot,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-BasicDensity-1.png,https://openbiox.github.io/Bizard/Distribution/Density.html#fig-BasicDensity,Basic density plot using the ggplot2 package and TCGA-LIHC dataset,Density Plot,BASICS,Distribution
