Id,Name,Image_url,Tutorial_url,Description,Type,Level1,Level2
1,基础小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-1.1BasicViolin-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-1.1BasicViolin,基础小提琴图使用 ggplot2 包和人工创建数据集,小提琴图,BASICS,Distribution
2,基础小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-1.2BasicViolin-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-1.2BasicViolin,基础小提琴图使用 ggplot2 包和 iris 数据集,小提琴图,BASICS,Distribution
3,基础小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-1.3BasicViolin-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-1.3BasicViolin,基础小提琴图使用 ggplot2 包和 TCGA-BRCA 数据集,小提琴图,BASICS,Distribution
4,反转小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-2HorizontalViolin-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-2HorizontalViolin,反转小提琴图使用 ggplot2 包和 TCGA-BRCA 数据集,小提琴图,BASICS,Distribution
5,箱线小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-3.1Violinwizbox-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-3.1Violinwizbox,箱线小提琴图使用 ggplot2 包和人工创建数据集,小提琴图,BASICS,Distribution
6,箱线小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-3.2Violinwizbox-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-3.2Violinwizbox,箱线小提琴图使用 ggplot2 包和 TCGA-BRCA 数据集,小提琴图,BASICS,Distribution
7,分组小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-4GroupedViolin-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-4GroupedViolin,分组小提琴图使用 ggplot2 包和 penguins 数据集,小提琴图,BASICS,Distribution
8,半分小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-5Half-ViolinPlot-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-5Half-ViolinPlot,半分小提琴图使用 ggplot2 包和 penguins 数据集,小提琴图,BASICS,Distribution
9,使用 ggstatsplot 包绘制小提琴图,https://openbiox.github.io/Bizard/Distribution/ViolinPlot_files/figure-html/fig-6ViolinPlot-ggstatsplot-1.png,https://openbiox.github.io/Bizard/zh/Distribution/ViolinPlot.html#fig-6ViolinPlot-ggstatsplot,小提琴图使用 ggstatsplot 包和 penguins 数据集,小提琴图,BASICS,Distribution
10,基础密度图,https://openbiox.github.io/Bizard/Distribution/Density_files/figure-html/fig-BasicDensity-1.png,https://openbiox.github.io/Bizard/zh/Distribution/Density.html#fig-BasicDensity,基础密度图使用 ggplot2 包和 TCGA-LIHC 数据集,密度图,BASICS,Distribution
